gene_id	orgP10_1	orgP10_2	orgP10_3	P27RE_1	P27RE_2	P27RE_3	P29_1	P29_2	P29_3	P42RE_1	P42RE_2	P42RE_3	P11_1	P11_2	P11_3	p26RE1	p26RE2	p26RE3	P12_1	P12_2	P12_3	P16RE_1	P16RE_2	P16RE_3				
A1BG	9.166848519	8.90720937	9.018311254	0.432630798	0.282507525	0.475903838	0.230290269	0.301414339	0.181136751	0.069160588	0.137504837	0.075211142	0.109155232	0	0.15823464	0.043181735	0	0.074517036	0.625426929	0.435854972	0.413042091	0.300418843	0.357514423	0.359341273				
A1CF	46.92573927	47.86108189	45.52747256	15.38864693	11.78552375	16.20652589	8.605246983	7.328939164	5.690096713	1.54450421	1.369745292	1.303278311	16.08255544	16.04764886	15.01952666	9.723435464	9.666516292	9.97094087	19.85920292	20.16529226	19.83886519	20.27546075	21.35867156	21.41072886				
A2M	796.7666564	792.8474961	788.3116722	79.39123191	112.4662352	86.59924212	18.50992053	6.643893296	3.20911268	0.326993201	0.437154179	0.220717484	120.7470297	108.5029709	140.2113466	29.03359339	26.08393207	26.94630125	298.6169434	250.6888641	211.9317877	481.5199393	429.0961061	459.4166788				
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015620905	0	0	0	0	0	0	0	0	0				
A3GALT2	0	0.154796707	0.105190997	0	0	0.051346907	0.198774494	0.364231091	0.156347753	0.119391592	0.178030456	0.259673269	0.094217077	0.096625731	0.227633085	0	0.133295758	0.192957603	0.154238787	0.214975528	0.118838764	0.172870536	0.08816792	0.258470466				
A4GALT	2.65631637	2.84091987	2.570896682	3.037420952	2.920886018	3.323502378	4.097356025	4.555764184	4.856959971	3.12638904	3.79327796	4.236802203	0.063260744	0.142731603	0.110045566	1.461512966	1.807891514	1.952017673	4.83286933	4.402440898	4.229009546	1.973215739	2.557402053	2.596254064				
A4GNT	0.660549197	0.780379607	0.673074841	0.020687371	0.056737106	0.019912011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
AAAS	21.4790926	22.10874284	19.81543099	19.40125297	18.71901776	19.06547011	18.6139249	19.66017137	19.01052211	33.76821843	31.17806919	34.77852881	26.57102081	27.17139725	25.87704799	32.63022389	38.09995688	34.24745859	27.43135603	26.5390379	27.56237129	24.09404952	21.93691976	21.98066408				
AACS	13.42954673	13.62757414	12.17993909	16.92281269	16.92620595	16.33451768	19.38255717	18.02793631	24.26217926	24.53084497	26.05076869	24.50713824	23.68832518	23.4865216	24.14279948	21.22258817	25.77663094	23.99305084	11.99813989	11.54772282	11.56140318	12.93590275	11.89279268	12.1717422				
AADAC	0.70641695	0.600196208	0.579589173	6.793083942	7.494074238	6.066955131	1.277759562	1.369766733	1.435760781	1.096387778	1.416892301	0.3974353	97.85492175	110.0284312	104.3240383	4.426760942	5.630728687	5.079600239	16.02098869	15.52995568	14.04153604	20.61093197	20.7542059	19.36830108				
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021736303	0	0				
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033677836	0	0.012989732	0	0	0	0	0				
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0.278164703	0.475459946	0.425637736	0	0	0	0.050596851	0	0.146190543	0	0	0.025436776				
AADAT	3.028241119	3.651415974	3.293145493	3.879452515	4.103230428	3.231712472	1.815013264	1.510184806	1.138692096	1.693651749	2.031998877	1.122029407	0.860297721	1.039843179	0.831408616	2.795594045	2.80373625	2.475048782	0.737710796	0.683525555	0.542559381	0.690586658	0.661301555	0.741745146				
AAED1	6.669054931	6.262707442	7.339045948	5.373640647	5.436046731	5.426609706	4.349214809	4.339150125	3.657578379	5.175321971	5.92874467	5.896092213	12.83565093	12.64521991	15.07349909	12.18665928	9.409938156	9.18736713	7.513632359	5.901806987	7.506264931	6.779831755	6.87933928	5.249891894				
AAGAB	8.321388703	8.222682148	7.620847817	19.15669325	22.1042056	19.62965283	18.40096954	18.9122584	16.79501822	27.77335362	26.79978075	25.95165581	35.06745027	35.89803127	32.69726727	38.11930125	37.84587974	38.61210824	20.9034904	20.89796953	20.7862597	31.65218484	33.22495985	32.51412303				
AAK1	4.649633468	4.761012391	4.966828003	3.15660195	3.610721169	3.22602489	8.097036721	7.709743652	8.534344829	8.47467795	7.690965933	8.622712538	5.688314483	5.847681096	5.45787599	7.383830942	7.403217539	6.971272821	5.938472563	5.406215003	5.69985137	4.748619096	4.508728705	4.620584086				
AAMDC	4.191426679	3.691946195	3.452240826	2.90216313	2.624315277	3.127382816	4.290254465	3.784544507	4.314474978	3.141689673	3.860070755	3.608482794	1.532116715	1.685560476	1.184534151	0.793445656	1.024682242	1.217082869	2.8273842	2.605988032	2.143322367	2.478918527	1.798702004	2.720573472				
AAMP	43.76851405	43.1009463	44.43626274	64.10280592	60.00151335	61.88110541	39.33395742	43.98721963	47.44027636	56.53294648	56.04999489	55.92542202	45.60820219	40.84231342	45.84064532	43.28717215	45.00669293	46.70304821	56.16560303	57.30575592	56.86917109	74.80966089	68.32341553	66.01928165				
AANAT	0.042664596	0.030048772	0.030629143	0.010355462	0.00946695	0	0	0.010100526	0	0	0.011519618	0.012601791	0.009144599	0.028135139	0	0.014470388	0	0.012485492	0.019960314	0.010432636	0	0	0.034229898	0.020069471				
AAR2	11.05955081	12.13312251	11.64490944	15.04940993	15.05138685	14.27209898	5.636160147	5.6188829	6.52695715	8.0865618	8.285310577	8.06809795	16.239602	14.52468513	15.54881837	15.09936611	12.15840892	15.02146617	9.674798943	10.16494532	9.131192804	9.692870416	9.506894539	10.43788016				
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027673047	0.026077116	0	0	0	0	0	0	0	0	0				
AARS	41.77133838	41.87811038	40.65960747	63.3206775	69.77853071	64.01050718	15.70400237	15.23352037	15.76797944	33.03632113	28.90183903	30.90197325	64.10232387	61.58793777	64.05280506	95.82538314	95.54280352	94.60508163	39.05336245	37.40415085	38.84561643	47.09385784	39.94615809	39.42507836				
AARS2	11.14447435	10.12655737	10.41358095	9.882133734	9.797292682	9.402650313	5.874619533	5.879799247	5.154279991	5.97311896	5.41056608	5.254228247	7.206965937	8.193792659	7.290336372	9.733958819	10.36358155	9.964205285	7.964790797	8.253227562	8.045884718	6.511533038	5.756452833	6.340774439				
AARSD1	0.164840486	0.077398353	0.118339871	0.120029219	0.073153708	0	0	0	0.039086938	0.089543694	0.133522842	0	0.035331404	0.072469298	0.034144963	0.055908316	0.299915454	0.096478802	0	0	0	0	0	0				
AASDH	12.12004186	13.15273565	13.17199097	4.442393492	4.714330506	4.916091661	4.153515083	4.357056296	4.027072073	3.418235529	3.599022554	3.407508363	4.495796209	4.558674337	4.716238291	5.553615517	5.273084699	5.276952034	4.392185031	5.095948647	5.195074297	3.745283351	3.487859749	3.906948716				
AASDHPPT	12.61516683	11.91634331	12.72772797	12.64473599	12.53870038	13.05090998	4.258796123	4.27152494	3.831691859	7.673989324	8.030209724	7.33512583	5.917760893	5.949192577	5.975729792	10.45702446	9.87539075	10.748836	12.76621794	13.81772271	12.79776378	14.83468158	15.22153238	14.61978702				
AASS	3.293552787	2.886084537	3.088460341	1.719648733	1.436135255	1.413627322	0.398310771	0.290129912	0.4903743	0.520088565	0.310211474	0.271482631	2.421504051	2.331879579	2.252927792	5.052755762	5.411726021	4.6734785	2.669636706	3.361917376	2.764413118	2.515191221	2.534884002	2.810341322				
AATF	18.92940066	20.98113551	19.27537807	22.71125496	22.6268075	24.01905676	11.56348106	12.58022644	11.0314622	17.82718334	18.06223333	17.83586045	20.57333949	19.22944566	19.12111531	38.93088529	37.76852174	38.90749882	16.53279871	17.15396276	15.70045463	20.91844513	18.59945708	19.46373153				
AATK	1.001098323	1.100118316	0.958258491	2.178244037	1.417890173	2.063429656	2.504264871	2.427175421	0.686887398	0.123418061	0.092017257	0.075496141	0.012174317	0.024971106	0.017648249	0.009632303	0	0	0.538111601	0.555563889	0.422285149	0.31272601	0.284816792	0.287226407				
ABAT	3.721685323	3.79499099	3.913268644	0.976315246	1.017669474	1.615972421	4.343335694	3.915917041	5.17902911	3.012087574	3.684524986	3.542091445	1.909632546	1.58659418	1.611897998	0.127501996	0.05699781	0.088010089	1.978594042	1.617869669	1.697252406	1.744515461	1.854887334	1.962888938				
ABCA1	18.54728346	19.02734954	19.01856117	0.787680774	0.616165285	0.797238953	1.603653642	1.588061804	2.007081269	0.109043314	0.072266511	0.133405911	0.935802477	1.128873362	1.28899838	0.879408992	1.095681011	0.832211312	2.891750628	2.491095511	2.600399224	2.085423672	1.97624118	2.179690037				
ABCA10	0.514960534	0.366856703	0.297454086	0.232740277	0.236412078	0.248908006	0.867216917	1.059382611	0.791592302	0.221857903	0.124657876	0.167838101	0.068508658	0.101486779	0.051495199	0.060226618	0.118462894	0.093537653	0.639685333	0.599213301	0.489667891	0.698335803	0.591237552	0.534594167				
ABCA12	0	0	0.005686451	0.01730288	0	0.022205828	0	0	0	0	0	0	0.030559312	0.015670279	0.024610933	0.008059495	0.007205747	0.013907957	0.005558595	0	0	0	0	0				
ABCA13	0.049465491	0.055741853	0.056818468	0.170967734	0.144005349	0.194143688	2.158080598	2.049821216	1.891692785	0.509461981	0.53209856	0.455849574	0.023749111	0.031315186	0.021312207	0.037580528	0.040799509	0.048638438	0.009256825	0.005805906	0	0.009337528	0.006349803	0.005584469				
ABCA2	20.00317613	18.58232625	18.52932488	33.48815212	25.20202995	30.09671945	43.19284755	43.49432713	53.90129917	12.54978434	15.2642376	14.25939383	9.742169724	9.979403788	10.31752946	5.801517723	5.423471134	5.682601409	23.61761138	23.43883844	24.05992415	15.77551689	15.33112509	15.37151069				
ABCA3	2.826231579	2.638088342	3.168356635	11.17339187	12.51225529	10.77840816	9.026697027	8.57559521	7.752067653	18.78259763	16.9209844	17.83873613	5.515561289	4.753605182	5.928076949	0.552684478	0.833858248	0.576221572	0.643247705	0.456575499	0.614927353	0.160211287	0.170232111	0.167679934				
ABCA4	0.168800618	0.172926051	0.20564366	0.014898522	0.020430315	0	0.270628788	0.268837234	0.371149845	0.050015397	0.116013841	0.081586534	0.473631792	0.492486552	0.356009941	1.134619828	1.219175836	1.320281977	0.021537849	0.015009553	0.041486505	0.036209369	0.024623473	0.057748356				
ABCA5	3.247990231	3.190775998	3.235195085	1.809412752	1.393539144	2.032795594	6.866731653	7.161617556	6.053308273	1.73180177	2.019298111	2.244395102	2.327397845	3.272104705	3.043677605	3.690997912	3.663444894	3.675739482	2.254089708	2.46179066	2.378301939	1.234909339	1.12985121	1.43201456				
ABCA6	0.109958149	0.089490584	0.028067394	0.078287185	0.026025472	0.082203265	0.132594097	0.152719743	0.118198738	0	0.015834216	0.017321711	1.03071123	1.372890595	1.232976918	0.089505802	0.035566395	0.034323705	0.123463443	0.071700563	0.079272337	0.08072026	0.082338351	0.062069316				
ABCA7	3.521257711	3.527153533	3.068383808	1.32032141	1.106449834	1.459948448	3.858133067	3.809792173	3.577850804	1.609387999	1.634860036	1.606728355	6.204446883	5.686898771	6.056462756	3.799768794	4.241661427	3.657580279	7.059178789	6.516205779	7.169319808	4.393149683	4.033091908	4.188606214				
ABCA8	0.018077056	0.059414655	0.077865694	0	0	0.008446356	0	0	0	0	0	0	0.061993291	0.015894537	0.037444709	0	0	0	0.634291203	0.415510467	0.469163745	0.845985709	0.877447305	0.833339704				
